k	Задача	1-hd			1-fd			2-hd			2-fd			3-hd			3-fd			4-hd			4-fd			
0,3	5	2,32026	0,25781	0,49673	2,77344	0,30816	0,59375	2,32026	0,25781	0,49673	2,77344	0,30816	0,59375	2,32026	0,25781	0,49673	2,77344	0,30816	0,59375	2,32026	0,25781	0,49673	2,77344	0,30816	0,59375	
0,3	6	1,79227	0,19914	0,55072	2,68841	0,29871	0,82609	1,93229	0,2147	0,59375	2,68841	0,29871	0,82609	1,93229	0,2147	0,59375	2,68841	0,29871	0,82609	1,93229	0,2147	0,59375	2,68841	0,29871	0,82609	
0,3	7	3,86598	0,42955	0,82474	4,21348	0,46816	0,89888	3,90625	0,43403	0,83333	4,21348	0,46816	0,89888	3,90625	0,43403	0,83333	4,21348	0,46816	0,89888	3,90625	0,43403	0,83333	4,21348	0,46816	0,89888	
0,3	8	2,61538	0,2906	0,88811	2,67143	0,29683	0,90714	2,67143	0,29683	0,90714	2,67143	0,29683	0,90714	2,67143	0,29683	0,90714	2,67143	0,29683	0,90714	2,67143	0,29683	0,90714	2,67143	0,29683	0,90714	
0,3	9	1,69683	0,18854	0,30317	2,38854	0,26539	0,42675	2,38854	0,26539	0,42675	2,38854	0,26539	0,42675	2,38854	0,26539	0,42675	2,38854	0,26539	0,42675	2,38854	0,26539	0,42675	2,38854	0,26539	0,42675	
0,3	10	2,24528	0,24948	0,59119	3,57	0,39667	0,94	2,51408	0,27934	0,66197	3,57	0,39667	0,94	2,51408	0,27934	0,66197	3,57	0,39667	0,94	2,51408	0,27934	0,66197	3,57	0,39667	0,94	
0,4	1	4,80769	0,53419	0,74359	5,28169	0,58685	0,8169	5,28169	0,58685	0,8169	5,28169	0,58685	0,8169	5,28169	0,58685	0,8169	5,28169	0,58685	0,8169	5,28169	0,58685	0,8169	5,28169	0,58685	0,8169	
0,4	2	2,90476	0,32275	0,55556	4,30588	0,47843	0,82353	3,62376	0,40264	0,69307	4,30588	0,47843	0,82353	3,62376	0,40264	0,69307	4,30588	0,47843	0,82353	3,62376	0,40264	0,69307	4,30588	0,47843	0,82353	
0,4	3	2,83051	0,3145	0,77966	2,83051	0,3145	0,77966	2,83051	0,3145	0,77966	2,83051	0,3145	0,77966	2,83051	0,3145	0,77966	2,83051	0,3145	0,77966	2,83051	0,3145	0,77966	2,83051	0,3145	0,77966	
0,4	4	2,22981	0,24776	0,80745	2,39333	0,26593	0,86667	2,22981	0,24776	0,80745	2,39333	0,26593	0,86667	2,22981	0,24776	0,80745	2,39333	0,26593	0,86667	2,22981	0,24776	0,80745	2,39333	0,26593	0,86667	
