k	Задача	0				1				2				3				4				5				
0,1	1	0,22897	0,02544	0,03352	205	0,13609	0,01512	0,01992	197	0,19018	0,02113	0,02784	161	0,99451	0,1105	0,1456	457	4,9589	0,55099	0,72603	417	1,61969	0,17997	0,23714	443	
0,1	2	0,15784	0,01754	0,02029	246	0,17604	0,01956	0,02263	198	0,13332	0,01481	0,01714	178	3,95187	0,4391	0,50802	418	3,06639	0,34071	0,39419	364	3,48585	0,38732	0,44811	422	
0,1	3	0,17158	0,01906	0,02197	238	0,08952	0,00995	0,01146	194	0,17842	0,01982	0,02285	159	1,49187	0,16576	0,19106	416	1,71897	0,191	0,22014	402	1,66818	0,18535	0,21364	359	
0,1	4	0,12564	0,01396	0,01074	226	0,14514	0,01613	0,01241	213	0,12196	0,01355	0,01043	202	1,60566	0,17841	0,13725	404	1,7759	0,19732	0,15181	343	1,84712	0,20524	0,15789	437	
0,1	5	0,15512	0,01724	0,01905	226	0,11501	0,01278	0,01412	238	0,14239	0,01582	0,01749	178	0,93797	0,10422	0,11519	460	1,07081	0,11898	0,1315	426	1,2309	0,13677	0,15116	395	
0,1	6	0,16825	0,01869	0,01875	228	0,10161	0,01129	0,01132	203	0,19591	0,02177	0,02183	394	0,52363	0,05818	0,05835	459	1,02014	0,11335	0,11367	408	0,53389	0,05932	0,05949	422	
0,1	7	0,12375	0,01375	0,01816	256	0,12816	0,01424	0,01881	273	0,22925	0,02547	0,03365	192	0,91698	0,10189	0,13459	383	0,95795	0,10644	0,1406	351	0,96047	0,10672	0,14097	353	
0,1	8	0,15586	0,01732	0,01297	214	0,14673	0,0163	0,01221	227	0,10042	0,01116	0,00836	253	6,11207	0,67912	0,50862	388	5,21324	0,57925	0,43382	324	5,53906	0,61545	0,46094	362	
0,1	9	0,13497	0,015	0,01761	227	0,17183	0,01909	0,02242	176	0,20286	0,02254	0,02647	222	0,5993	0,06659	0,07821	423	0,69949	0,07772	0,09128	341	0,68337	0,07593	0,08918	343	
0,1	10	0,22183	0,02465	0,03585	239	0,18333	0,02037	0,02963	215	0,12932	0,01437	0,0209	178	1,03279	0,11475	0,16692	420	0,64107	0,07123	0,10361	341	0,89304	0,09923	0,14433	360	
0,2	1	0,44557	0,04951	0,03828	252	0,33665	0,03741	0,02892	252	0,49013	0,05446	0,04211	169	3,07851	0,34206	0,26446	426	2,99197	0,33244	0,25703	411	3,25328	0,36148	0,27948	376	
0,2	2	0,36961	0,04107	0,04095	235	0,25174	0,02797	0,02789	212	0,32481	0,03609	0,03598	220	6,125	0,68056	0,67857	478	2,34932	0,26104	0,26027	418	3,92	0,43556	0,43429	388	
0,2	3	0,4668	0,05187	0,04668	243	0,2344	0,02604	0,02344	212	0,43505	0,04834	0,0435	200	2,98319	0,33147	0,29832	470	1,55022	0,17225	0,15502	393	1,7402	0,19336	0,17402	430	
0,2	4	0,242	0,02689	0,02323	206	0,26495	0,02944	0,02543	181	0,33816	0,03757	0,03246	168	4,56213	0,5069	0,43787	477	4,21311	0,46812	0,40437	473	3,5367	0,39297	0,33945	383	
0,2	5	0,28385	0,03154	0,03246	205	0,36157	0,04017	0,04135	185	0,28306	0,03145	0,03237	152	6,18103	0,68678	0,7069	442	5,15827	0,57314	0,58993	413	4,97917	0,55324	0,56944	492	
0,2	6	0,87758	0,09751	0,10303	222	0,32192	0,03577	0,03779	207	0,41538	0,04615	0,04877	191	4,30952	0,47884	0,50595	450	2,76336	0,30704	0,32443	381	5,88618	0,65402	0,69106	374	
