k	Задача	0				1				2				3				4				5				
0,1	1	0,19514	0,02168	0,02031	278	0,14233	0,01581	0,01481	280	0,12358	0,01373	0,01286	259	2,75389	0,30599	0,2866	711	3,13475	0,34831	0,32624	674	2,40217	0,26691	0,25	626	
0,1	2	0,16017	0,0178	0,00932	299	0,14819	0,01647	0,00862	295	0,1153	0,01281	0,00671	284	0,44339	0,04927	0,0258	737	0,59171	0,06575	0,03443	592	0,31453	0,03495	0,0183	569	
0,1	3	0,14859	0,01651	0,01439	282	0,1803	0,02003	0,01746	288	0,1734	0,01927	0,01679	261	3,11579	0,3462	0,30175	688	3,82759	0,42529	0,37069	589	3,48235	0,38693	0,33725	536	
0,1	4	0,27899	0,031	0,0203	273	0,1237	0,01374	0,009	257	0,13189	0,01465	0,00959	221	2,40556	0,26728	0,175	723	2,41899	0,26878	0,17598	574	1,6037	0,17819	0,11667	593	
0,1	5	0,29052	0,03228	0,01782	485	0,26899	0,02989	0,0165	250	0,18902	0,021	0,01159	323	4,54737	0,50526	0,27895	1118	3,42857	0,38095	0,21032	1207	4,99422	0,55491	0,30636	1255	
0,1	6	0,19783	0,02198	0,01437	760	0,11291	0,01255	0,0082	430	0,15721	0,01747	0,01142	363	1,05792	0,11755	0,07683	1225	1,22435	0,13604	0,08892	1056	1,36641	0,15182	0,09924	830	
0,1	7	0,24594	0,02733	0,01407	284	0,23871	0,02652	0,01366	248	0,12029	0,01337	0,00688	251	1,11125	0,12347	0,06357	717	0,5	0,05556	0,0286	675	0,64468	0,07163	0,03688	633	
0,1	8	0,59044	0,0656	0,04227	257	0,18692	0,02077	0,01338	241	0,18005	0,02001	0,01289	250	2,5509	0,28343	0,18263	779	2,00471	0,22275	0,14353	698	2,01418	0,2238	0,14421	651	
0,1	9	0,14245	0,01583	0,01096	295	0,10131	0,01126	0,00779	278	0,18318	0,02035	0,01409	196	3,11808	0,34645	0,23985	839	1,87778	0,20864	0,14444	757	1,62188	0,18021	0,12476	718	
0,1	10	0,26389	0,02932	0,01842	320	0,19317	0,02146	0,01349	259	0,15703	0,01745	0,01096	227	0,99552	0,11061	0,06951	894	0,58191	0,06466	0,04063	768	0,54579	0,06064	0,03811	729	
