k	Задача	0				1				2				3				4				5				
0,1	1	0,15932	0,0177	0,03722	154	0,16729	0,01859	0,03909	131	0,11211	0,01246	0,02619	143	0,92241	0,10249	0,21552	210	0,67043	0,07449	0,15664	186	0,83725	0,09303	0,19562	212	
0,1	2	0,15501	0,01722	0,0334	137	0,13119	0,01458	0,02827	146	0,14331	0,01592	0,03088	142	2,77041	0,30782	0,59694	198	1,76299	0,19589	0,37987	179	2,72864	0,30318	0,58794	176	
0,1	3	0,11377	0,01264	0,01847	122	0,1002	0,01113	0,01627	163	0,14414	0,01602	0,0234	92	0,57159	0,06351	0,09278	217	0,86183	0,09576	0,1399	201	1,14188	0,12688	0,18535	192	
0,1	4	0,14846	0,0165	0,03817	142	0,11373	0,01264	0,02924	165	0,10786	0,01198	0,02773	144	1,80192	0,20021	0,46326	229	1,63478	0,18164	0,42029	178	3,06522	0,34058	0,78804	201	
0,1	5	0,15849	0,01761	0,0302	130	0,28618	0,0318	0,05454	125	0,18169	0,02019	0,03462	114	1,54971	0,17219	0,29532	198	0,65191	0,07243	0,12423	186	1,32832	0,14759	0,25313	178	
0,1	6	0,11464	0,01274	0,02521	144	0,12587	0,01399	0,02768	138	0,14282	0,01587	0,0314	140	0,91754	0,10195	0,20175	212	1,2023	0,13359	0,26437	191	1,27251	0,14139	0,27981	178	
0,1	7	0,2	0,02222	0,0278	134	0,1541	0,01712	0,02142	138	0,143	0,01589	0,01988	137	1,38155	0,15351	0,19202	172	1,22026	0,13558	0,1696	201	2,20717	0,24524	0,30677	185	
0,1	8	0,14252	0,01584	0,02522	163	0,08555	0,00951	0,01514	163	0,0869	0,00966	0,01538	143	3,48256	0,38695	0,61628	258	2,81221	0,31247	0,49765	228	2,06552	0,2295	0,36552	230	
0,1	9	0,12503	0,01389	0,03531	172	0,12759	0,01418	0,03603	165	0,19992	0,02221	0,05646	150	1,20794	0,13422	0,34112	268	1,10944	0,12327	0,3133	226	1,02579	0,11398	0,28968	224	
0,1	10	0,14888	0,01654	0,02828	170	0,16035	0,01782	0,03046	166	0,11192	0,01244	0,02126	160	2,63235	0,29248	0,5	223	2,69849	0,29983	0,51256	208	1,69937	0,18882	0,32278	217	
0,2	1	0,65283	0,07254	0,07296	143	0,2612	0,02902	0,02919	142	0,3637	0,04041	0,04064	128	4,94286	0,54921	0,55238	239	4,21951	0,46883	0,47154	218	3,73381	0,41487	0,41727	210	
0,2	2	0,34615	0,03846	0,06573	148	0,23855	0,02651	0,0453	158	0,36996	0,04111	0,07025	178	3,19355	0,35484	0,60645	251	1,95652	0,21739	0,37154	210	3	0,33333	0,5697	195	
0,2	3	0,26561	0,02951	0,04995	171	0,22627	0,02514	0,04255	149	0,26574	0,02953	0,04998	129	2,24797	0,24977	0,42276	247	2,16016	0,24002	0,40625	238	1,37905	0,15323	0,25935	267	
0,2	4	0,65093	0,07233	0,0882	166	0,37137	0,04126	0,05032	161	0,4192	0,04658	0,0568	142	2,71503	0,30167	0,36788	283	2,13878	0,23764	0,2898	264	3,17576	0,35286	0,4303	267	
0,2	5	0,27102	0,03011	0,05341	172	0,33415	0,03713	0,06585	157	0,32179	0,03575	0,06342	188	4,68376	0,52042	0,92308	271	4,15152	0,46128	0,81818	215	3,88652	0,43184	0,76596	224	
0,2	6	0,25406	0,02823	0,05268	204	0,41479	0,04609	0,08601	181	0,34865	0,03874	0,0723	154	1,91822	0,21314	0,39777	314	1,86282	0,20698	0,38628	272	1,89706	0,21078	0,39338	268	
0,2	7	0,2257	0,02508	0,03879	160	0,22146	0,02461	0,03806	150	0,22156	0,02462	0,03807	148	2,77586	0,30843	0,47701	260	2,39109	0,26568	0,41089	223	2,875	0,31944	0,49405	272	
0,2	8	0,27557	0,03062	0,05382	156	0,42036	0,04671	0,0821	166	0,45878	0,05098	0,08961	119	1,90335	0,21148	0,37175	280	1,03018	0,11446	0,20121	296	1,03434	0,11493	0,20202	219	
0,2	9	0,27919	0,03102	0,0467	160	0,24403	0,02711	0,04082	143	0,33353	0,03706	0,05579	129	4,39062	0,48785	0,73438	264	3,82313	0,42479	0,63946	230	3,44785	0,38309	0,57669	281	
0,2	10	0,52035	0,05782	0,09012	142	0,2995	0,03328	0,05187	147	0,27795	0,03088	0,04814	286	4,00746	0,44527	0,69403	445	3,23494	0,35944	0,56024	296	4,16279	0,46253	0,72093	188	
0,3	1	1,48889	0,16543	0,17222	157	0,61751	0,06861	0,07143	273	0,70712	0,07857	0,08179	214	3,37107	0,37456	0,38994	385	2,94506	0,32723	0,34066	229	4,0916	0,45462	0,47328	188	
0,3	2	0,80301	0,08922	0,09474	120	0,59465	0,06607	0,07016	115	0,57605	0,06401	0,06796	99	2,88649	0,32072	0,34054	234	4,5641	0,50712	0,53846	203	3,21687	0,35743	0,37952	199	
0,3	3	0,45117	0,05013	0,08071	123	0,51331	0,05703	0,09183	109	0,62809	0,06979	0,11236	100	5,27358	0,58595	0,9434	189	4,81897	0,53544	0,86207	188	4,90351	0,54483	0,87719	216	
0,3	4	0,65	0,07222	0,07955	133	0,40539	0,04504	0,04961	135	0,53558	0,05951	0,06554	111	2,26984	0,2522	0,27778	252	2,42373	0,2693	0,29661	251	1,83333	0,2037	0,22436	211	
0,3	5	0,74412	0,08268	0,10097	130	0,49132	0,05459	0,06667	131	0,445	0,04944	0,06038	118	5,38	0,59778	0,73	180	5,38	0,59778	0,73	172	6,32941	0,70327	0,85882	150	
0,3	6	0,50745	0,05638	0,09831	115	0,44358	0,04929	0,08594	105	0,45022	0,05002	0,08722	107	3,81343	0,42371	0,73881	208	2,68947	0,29883	0,52105	190	3,52414	0,39157	0,68276	189	
0,3	7	0,99602	0,11067	0,19881	124	0,63258	0,07029	0,12626	128	0,87282	0,09698	0,17422	128	4,24576	0,47175	0,84746	192	3,82443	0,42494	0,76336	168	2,89595	0,32177	0,57803	206	
0,3	8	0,43219	0,04802	0,08497	152	0,46201	0,05133	0,09083	176	0,43683	0,04854	0,08588	126	2,95531	0,32837	0,58101	299	2,75521	0,30613	0,54167	276	2,90659	0,32295	0,57143	277	
0,3	9	0,59066	0,06563	0,1535	154	0,64286	0,07143	0,16707	148	0,67643	0,07516	0,1758	140	2,46977	0,27442	0,64186	274	1,68038	0,18671	0,43671	292	1,73529	0,19281	0,45098	265	
0,3	10	0,82712	0,0919	0,14068	154	0,53101	0,059	0,09032	122	0,58303	0,06478	0,09916	144	2,55497	0,28389	0,43455	301	2,09442	0,23271	0,35622	269	2,58201	0,28689	0,43915	285	
0,4	1	1,01134	0,11237	0,15879	154	1,07646	0,11961	0,16901	153	0,79259	0,08807	0,12444	132	3,42949	0,38105	0,53846	271	3,42949	0,38105	0,53846	234	3,14706	0,34967	0,49412	232	
0,4	2	1,50273	0,16697	0,1612	139	0,82831	0,09203	0,08886	136	1,11562	0,12396	0,11968	119	6,54762	0,72751	0,70238	296	7,63889	0,84877	0,81944	237	6,25	0,69444	0,67045	284	
0,4	3	0,80878	0,08986	0,15439	142	0,57387	0,06376	0,10955	159	0,49224	0,05469	0,09397	154	5,14414	0,57157	0,98198	222	4,83898	0,53766	0,92373	220	4,64228	0,51581	0,88618	204	
0,4	4	0,98684	0,10965	0,1015	195	1,08025	0,12003	0,11111	124	1,00191	0,11132	0,10305	154	4,77273	0,5303	0,49091	253	5,52632	0,61404	0,56842	223	4,60526	0,5117	0,47368	217	
0,4	5	0,74926	0,08325	0,11062	153	0,81672	0,09075	0,12058	156	0,939	0,10433	0,13863	145	5,29167	0,58796	0,78125	246	4,30508	0,47834	0,63559	210	3,93798	0,43755	0,5814	219	
0,4	6	0,88636	0,09848	0,10315	135	0,65335	0,07259	0,07603	139	0,8521	0,09468	0,09916	121	5,63333	0,62593	0,65556	299	4,02381	0,44709	0,46825	265	4,12195	0,45799	0,47967	268	
0,4	7	1,10062	0,12229	0,25873	153	0,67084	0,07454	0,1577	151	0,82462	0,09162	0,19385	110	2,51643	0,2796	0,59155	255	2,74872	0,30541	0,64615	224	2,49302	0,277	0,58605	211	
0,4	8	0,71579	0,07953	0,06974	146	0,71768	0,07974	0,06992	144	0,8746	0,09718	0,08521	129	6,32558	0,70284	0,61628	282	4,64957	0,51662	0,45299	249	4,0597	0,45108	0,39552	256	
0,4	9	1,14163	0,12685	0,13305	154	0,60939	0,06771	0,07102	156	0,69361	0,07707	0,08083	127	4,43333	0,49259	0,51667	256	4,54701	0,50522	0,52991	223	4,43333	0,49259	0,51667	229	
0,4	10	0,81493	0,09055	0,11493	177	1,14947	0,12772	0,16211	168	0,8452	0,09391	0,1192	134	3,9854	0,44282	0,56204	237	3,66443	0,40716	0,51678	245	4,47541	0,49727	0,63115	231	
0,5	1	1,26846	0,14094	0,23266	155	0,78099	0,08678	0,14325	172	1,24615	0,13846	0,22857	114	5,29907	0,58879	0,97196	256	4,07914	0,45324	0,7482	213	4,26316	0,47368	0,78195	230	
0,5	2	1,61345	0,17927	0,2381	137	1,14059	0,12673	0,16832	133	1,48454	0,16495	0,21907	112	6,62069	0,73563	0,97701	265	5,14286	0,57143	0,75893	261	5,70297	0,63366	0,84158	249	
0,5	3	1,37563	0,15285	0,13452	143	1,66769	0,1853	0,16308	122	1,38265	0,15363	0,1352	116	3,84397	0,42711	0,37589	283	3,54248	0,39361	0,34641	249	4,92727	0,54747	0,48182	245	
