k	Задача	0				1				2				3				4				5				
0,3	10	0,70943	0,07883	0,12828	94	0,72057	0,08006	0,1303	89	0,30297	0,03366	0,05479	102	3,9569	0,43966	0,71552	146	3,50382	0,38931	0,63359	135	3,88983	0,4322	0,70339	145	
0,4	1	0,8497	0,09441	0,10621	93	1,03415	0,11491	0,12927	85	1,19101	0,13233	0,14888	95	4	0,44444	0,5	142	3,16418	0,35158	0,39552	140	2,36872	0,26319	0,29609	133	
0,4	2	0,894	0,09933	0,1	91	0,96544	0,10727	0,10799	85	1,05674	0,11742	0,1182	80	5,88158	0,65351	0,65789	154	4,96667	0,55185	0,55556	150	4,02703	0,44745	0,45045	151	
0,4	3	1,78689	0,19854	0,2541	93	1,05825	0,11758	0,15049	114	1,13247	0,12583	0,16104	74	6,05556	0,67284	0,86111	161	5,06977	0,56331	0,72093	145	4,6383	0,51537	0,65957	138	
0,4	4	0,72305	0,08034	0,1675	102	0,68232	0,07581	0,15806	87	0,86508	0,09612	0,2004	82	4,31683	0,47965	1	164	4,15238	0,46138	0,9619	152	3,92793	0,43644	0,90991	129	
0,4	5	0,70487	0,07832	0,12402	104	0,74833	0,08315	0,13167	79	0,61005	0,06778	0,10734	100	4,35922	0,48436	0,76699	151	4,27619	0,47513	0,75238	137	4,23585	0,47065	0,74528	133	
0,4	6	0,91535	0,10171	0,10236	101	0,9728	0,10809	0,10879	92	0,73693	0,08188	0,08241	106	4,00862	0,4454	0,44828	144	6,2	0,68889	0,69333	136	2,90625	0,32292	0,325	125	
0,4	7	0,72364	0,0804	0,16933	102	0,87621	0,09736	0,20503	98	0,75374	0,08375	0,17637	87	3,06081	0,34009	0,71622	143	2,47541	0,27505	0,57923	141	2,92258	0,32473	0,68387	129	
0,4	8	0,73585	0,08176	0,12579	102	0,7813	0,08681	0,13356	84	0,60309	0,06701	0,10309	91	4,5	0,5	0,76923	150	4,03448	0,44828	0,68966	144	4,10526	0,45614	0,70175	158	
0,4	9	0,8084	0,08982	0,15462	98	0,74114	0,08235	0,14176	99	0,78982	0,08776	0,15107	79	4,49533	0,49948	0,85981	152	3,87903	0,431	0,74194	153	3,75781	0,41753	0,71875	145	
