k	Задача	0				1				2				3				4				5				
0,3	10	0,46192	0,05132	0,14251	92	0,47595	0,05288	0,14684	72	0,44497	0,04944	0,13728	97	2,02151	0,22461	0,62366	102	1,97895	0,21988	0,61053	112	1,65639	0,18404	0,51101	99	
0,4	1	0,73747	0,08194	0,14028	81	1,07918	0,11991	0,20528	84	0,86792	0,09644	0,16509	85	2,74627	0,30514	0,52239	102	3,06667	0,34074	0,58333	95	2,60993	0,28999	0,49645	106	
0,4	2	1,16781	0,12976	0,26712	71	0,80047	0,08894	0,1831	101	0,64952	0,07217	0,14857	77	1,77604	0,19734	0,40625	115	1,705	0,18944	0,39	106	2,1859	0,24288	0,5	103	
0,4	3	1,24841	0,13871	0,26433	82	0,71273	0,07919	0,15091	94	0,91589	0,10177	0,19393	66	3,69811	0,4109	0,78302	119	3,32203	0,36911	0,70339	109	2,49682	0,27742	0,52866	100	
0,4	4	0,67735	0,07526	0,13627	90	1,02424	0,1138	0,20606	73	0,88251	0,09806	0,17755	87	3,25	0,36111	0,65385	107	3,12963	0,34774	0,62963	104	2,74797	0,30533	0,55285	104	
0,4	5	0,66227	0,07359	0,22076	98	0,61094	0,06788	0,20365	102	0,70403	0,07823	0,23468	89	2,3787	0,2643	0,7929	100	2,24581	0,24953	0,7486	86	2,12698	0,23633	0,70899	92	
0,4	6	0,86765	0,09641	0,19118	74	0,7284	0,08093	0,16049	71	0,59596	0,06622	0,13131	86	2,28387	0,25376	0,50323	108	2,31373	0,25708	0,5098	103	3,21818	0,35758	0,70909	97	
0,4	7	0,68587	0,07621	0,17658	74	1,0885	0,12094	0,28024	63	1,02216	0,11357	0,26316	69	2,3961	0,26623	0,61688	107	2,06145	0,22905	0,53073	103	2,3961	0,26623	0,61688	102	
0,4	8	0,75899	0,08433	0,20719	77	0,78214	0,0869	0,21351	64	0,66605	0,07401	0,18182	78	1,82234	0,20248	0,49746	92	1,8601	0,20668	0,50777	98	1,97253	0,21917	0,53846	89	
0,4	9	0,83565	0,09285	0,17593	65	0,68762	0,0764	0,14476	70	0,84543	0,09394	0,17799	62	3,96703	0,44078	0,83516	105	3,34259	0,3714	0,7037	98	3,31193	0,36799	0,69725	88	
0,4	10	1,14828	0,12759	0,15862	73	1,29572	0,14397	0,17899	72	0,925	0,10278	0,12778	72	3,61957	0,40217	0,5	105	5,20312	0,57812	0,71875	302	2,664	0,296	0,368	92	
0,5	1	1,16429	0,12937	0,225	68	1,41126	0,15681	0,27273	65	1,26357	0,1404	0,24419	61	3,43158	0,38129	0,66316	92	3,88095	0,43122	0,75	98	3,19608	0,35512	0,61765	83	
0,5	2	1,03279	0,11475	0,22678	72	1,0107	0,1123	0,22193	68	1,05882	0,11765	0,23249	71	4,1087	0,45652	0,90217	99	2,8209	0,31343	0,6194	97	3,63462	0,40385	0,79808	93	
0,5	3	1,0708	0,11898	0,14454	74	1,09337	0,12149	0,14759	60	1,44048	0,16005	0,19444	64	5,41791	0,60199	0,73134	97	5,26087	0,58454	0,71014	103	4,90541	0,54505	0,66216	97	
0,5	4	1,5261	0,16957	0,22088	71	1,50198	0,16689	0,21739	60	1,19122	0,13236	0,17241	69	6,03175	0,67019	0,87302	109	5,20548	0,57839	0,75342	89	4,36782	0,48531	0,63218	96	
0,5	5	1,24074	0,13786	0,2963	78	1,04688	0,11632	0,25	61	0,81114	0,09013	0,1937	68	2,81513	0,31279	0,67227	106	3,13084	0,34787	0,74766	114	2,9646	0,3294	0,70796	110	
0,5	6	1,1838	0,13153	0,19626	83	1,00264	0,1114	0,16623	92	1,1838	0,13153	0,19626	68	3,58491	0,39832	0,59434	106	2,90076	0,32231	0,48092	100	2,30303	0,25589	0,38182	92	
0,5	7	1,05279	0,11698	0,24633	74	1,22945	0,13661	0,28767	68	1,65438	0,18382	0,3871	76	3,98889	0,44321	0,93333	97	2,96694	0,32966	0,69421	96	3,32407	0,36934	0,77778	89	
0,5	8	1,16066	0,12896	0,19672	90	1,21233	0,1347	0,20548	73	1,60909	0,17879	0,27273	63	5,20588	0,57843	0,88235	110	4,5974	0,51082	0,77922	111	4,98592	0,55399	0,84507	105	
0,5	9	0,74206	0,08245	0,26984	77	0,80603	0,08956	0,2931	79	0,94444	0,10494	0,34343	85	2,61538	0,2906	0,95105	102	2,3375	0,25972	0,85	108	2,39744	0,26638	0,87179	108	
0,5	10	1,8324	0,2036	0,51955	73	0,91877	0,10209	0,2605	65	0,9162	0,1018	0,25978	71	3,38144	0,37572	0,95876	93	3,21569	0,3573	0,91176	100	3,18447	0,35383	0,90291	92	
0,6	1	2,80992	0,31221	0,5124	78	2,125	0,23611	0,3875	56	1,45923	0,16214	0,26609	62	4,3038	0,4782	0,78481	105	4,3038	0,4782	0,78481	101	4,3038	0,4782	0,78481	86	
0,6	2	1,24476	0,13831	0,21678	65	1,71154	0,19017	0,29808	86	1,30882	0,14542	0,22794	68	4,04545	0,44949	0,70455	97	3,35849	0,37317	0,58491	102	4,50633	0,5007	0,78481	97	
0,6	3	1,19683	0,13298	0,36825	65	0,99211	0,11023	0,30526	62	0,98433	0,10937	0,30287	58	2,56463	0,28496	0,78912	109	2,94531	0,32726	0,90625	100	2,92248	0,32472	0,89922	91	
0,6	4	2,3354	0,25949	0,51553	69	1,62069	0,18008	0,35776	72	1,3101	0,14557	0,2892	84	4,13187	0,4591	0,91209	95	3,65049	0,40561	0,80583	95	4	0,44444	0,88298	96	
0,6	5	1,13167	0,12574	0,38078	72	1,41964	0,15774	0,47768	64	1,07432	0,11937	0,36149	61	2,97196	0,33022	1	112	2,69492	0,29944	0,90678	102	2,67227	0,29692	0,89916	99	
0,6	6	2,09827	0,23314	0,41618	93	1,67281	0,18587	0,3318	67	1,27817	0,14202	0,25352	58	4,84	0,53778	0,96	115	4,03333	0,44815	0,8	114	4,37349	0,48594	0,86747	103	
0,6	7	2,21656	0,24628	0,28025	69	2,04706	0,22745	0,25882	64	1,84127	0,20459	0,2328	76	6,32727	0,70303	0,8	100	4,97143	0,55238	0,62857	107	6,32727	0,70303	0,8	96	
0,6	8	1,63256	0,1814	0,32093	72	1,76382	0,19598	0,34673	68	1,53947	0,17105	0,30263	77	3,98864	0,44318	0,78409	105	3,10619	0,34513	0,61062	99	3,375	0,375	0,66346	115	
0,6	9	1,80105	0,20012	0,36649	74	1,02687	0,1141	0,20896	68	1,36508	0,15168	0,27778	72	3,62105	0,40234	0,73684	99	3,54639	0,39404	0,72165	101	3,73913	0,41546	0,76087	100	
0,6	10	1,83077	0,20342	0,29231	68	1,51271	0,16808	0,24153	69	1,72464	0,19163	0,27536	62	5,32836	0,59204	0,85075	97	5,57812	0,61979	0,89062	88	5,32836	0,59204	0,85075	93	
0,7	1	2,42667	0,26963	0,6	74	2,01105	0,22345	0,49724	54	1,84772	0,2053	0,45685	88	3,91398	0,43489	0,96774	103	3,53398	0,39266	0,87379	96	3,87234	0,43026	0,95745	117	
