k	Задача	0				1				2				3				4				5				
0,3	10	0,98655	0,10962	0,14051	196	0,64453	0,07161	0,0918	152	0,65541	0,07282	0,09335	150	2,6087	0,28986	0,37154	409	2,31579	0,25731	0,32982	343	1,45055	0,16117	0,20659	345	
0,4	1	0,87483	0,0972	0,08389	317	0,85436	0,09493	0,08192	299	1,75668	0,19519	0,16845	279	5,09302	0,56589	0,48837	632	4,29412	0,47712	0,41176	723	4,97727	0,55303	0,47727	719	
0,4	2	0,85452	0,09495	0,09605	368	0,84615	0,09402	0,0951	498	0,72979	0,08109	0,08203	235	7,75641	0,86182	0,87179	806	6,875	0,76389	0,77273	722	5,40179	0,6002	0,60714	642	
0,4	3	1,00156	0,11129	0,18936	386	0,72316	0,08035	0,13672	584	0,69641	0,07738	0,13166	376	5,12	0,56889	0,968	885	4,02516	0,44724	0,76101	509	4,10256	0,45584	0,77564	369	
0,4	4	1,04746	0,11638	0,09322	173	0,82731	0,09192	0,07363	189	1,14233	0,12693	0,10166	151	5,28205	0,58689	0,47009	409	5,42105	0,60234	0,48246	338	6,24242	0,6936	0,55556	304	
0,4	5	1,39574	0,15508	0,15532	190	1,12329	0,12481	0,125	159	0,96047	0,10672	0,10688	158	5,20635	0,57848	0,57937	380	7,90361	0,87818	0,87952	375	7,54023	0,8378	0,83908	346	
0,4	6	0,72444	0,08049	0,07778	174	1,71579	0,19064	0,18421	148	1,17902	0,131	0,12658	208	8,46753	0,94084	0,90909	333	7,85542	0,87282	0,84337	278	6,45545	0,71727	0,69307	318	
0,4	7	1,18659	0,13184	0,09601	159	1,03639	0,11515	0,08386	170	1,18445	0,13161	0,09584	159	5,74561	0,6384	0,46491	429	6,42157	0,71351	0,51961	347	5,55085	0,61676	0,44915	345	
0,4	8	1,55607	0,1729	0,18692	168	0,86381	0,09598	0,10376	220	0,95965	0,10663	0,11527	189	4,13665	0,45963	0,49689	369	4,24204	0,47134	0,50955	297	4,75714	0,52857	0,57143	259	
0,4	9	0,6333	0,07037	0,05748	161	0,84079	0,09342	0,07632	160	1,17033	0,13004	0,10623	157	3,63068	0,40341	0,32955	421	3,21106	0,35678	0,29146	376	3,65143	0,40571	0,33143	358	
0,4	10	1,10435	0,12271	0,06783	160	0,65061	0,07229	0,03996	174	0,85464	0,09496	0,05249	151	6,75532	0,75059	0,41489	405	4,92248	0,54694	0,30233	375	3,9441	0,43823	0,24224	395	
0,5	1	1,63492	0,18166	0,18254	162	1,12568	0,12508	0,12568	167	1,2561	0,13957	0,14024	156	4,29167	0,47685	0,47917	402	5,06557	0,56284	0,56557	346	5,02439	0,55827	0,56098	375	
0,5	2	1,43032	0,15892	0,17604	178	1,11429	0,12381	0,13714	188	1,46617	0,16291	0,18045	168	6,72414	0,74713	0,82759	393	3,65625	0,40625	0,45	392	3,14516	0,34946	0,3871	357	
