k	Задача	0				1				2				3				4				5				
0,1	1	0,1118	0,01242	0,01245	272	0,12457	0,01384	0,01388	238	0,11373	0,01264	0,01267	215	2,80142	0,31127	0,31206	554	5	0,55556	0,55696	503	2,07349	0,23039	0,23097	467	
0,1	2	0,33568	0,0373	0,0178	232	0,12065	0,01341	0,0064	211	0,14647	0,01627	0,00777	203	0,97593	0,10844	0,05174	601	0,66204	0,07356	0,0351	574	0,64111	0,07123	0,03399	537	
0,1	3	0,16029	0,01781	0,01434	252	0,15966	0,01774	0,01428	258	0,13956	0,01551	0,01248	205	1,0441	0,11601	0,09339	568	0,98411	0,10935	0,08802	567	1,02679	0,11409	0,09184	529	
0,1	4	0,15505	0,01723	0,01423	262	0,09458	0,01051	0,00868	246	0,22404	0,02489	0,02056	190	4,1	0,45556	0,37619	583	3,98611	0,4429	0,36574	503	2,51754	0,27973	0,23099	513	
0,1	5	0,13624	0,01514	0,01175	249	0,12567	0,01396	0,01084	271	0,10643	0,01183	0,00918	251	1,10322	0,12258	0,09517	513	1,69691	0,18855	0,14639	478	1,02236	0,1136	0,0882	441	
0,1	6	0,11579	0,01287	0,01511	287	0,16044	0,01783	0,02094	234	0,12705	0,01412	0,01658	208	1,38983	0,15443	0,18136	538	0,73609	0,08179	0,09605	475	0,75576	0,08397	0,09862	486	
0,1	7	0,27892	0,03099	0,0181	247	0,15895	0,01766	0,01031	231	0,2496	0,02773	0,0162	199	5,07097	0,56344	0,32903	540	5,13725	0,57081	0,33333	522	5,31081	0,59009	0,34459	474	
0,1	8	0,25196	0,028	0,01734	306	0,19513	0,02168	0,01343	236	0,15992	0,01777	0,01101	212	3,18182	0,35354	0,21901	595	1,19011	0,13223	0,08192	572	4,61078	0,51231	0,31737	508	
0,1	9	0,13595	0,01511	0,00899	256	0,14318	0,01591	0,00946	240	0,10922	0,01214	0,00722	245	1,82456	0,20273	0,12061	505	1,88235	0,20915	0,12443	472	2,92958	0,32551	0,19366	417	
0,1	10	0,15605	0,01734	0,01173	226	0,38778	0,04309	0,02915	200	0,16097	0,01789	0,0121	174	1,46248	0,1625	0,10995	631	2,34734	0,26082	0,17647	545	2,76568	0,3073	0,20792	517	
0,2	1	0,41738	0,04638	0,03625	235	0,38533	0,04281	0,03346	230	0,52061	0,05785	0,04521	216	3,915	0,435	0,34	592	4,47429	0,49714	0,38857	487	4,86335	0,54037	0,42236	461	
0,2	2	0,33251	0,03695	0,02881	275	0,34252	0,03806	0,02967	249	0,23192	0,02577	0,02009	213	4,51397	0,50155	0,39106	579	4,4153	0,49059	0,38251	545	4,36757	0,48529	0,37838	548	
0,2	3	0,3368	0,03742	0,03451	250	0,51461	0,05718	0,05273	221	0,38849	0,04317	0,03981	207	1,77243	0,19694	0,18162	617	3	0,33333	0,30741	613	1,76471	0,19608	0,18083	492	
0,2	4	0,34302	0,03811	0,0412	260	0,28433	0,03159	0,03415	230	0,50868	0,05652	0,06109	200	2,80496	0,31166	0,33688	681	2,26	0,25111	0,27143	645	1,68298	0,187	0,20213	576	
0,2	5	0,36837	0,04093	0,02462	244	0,32593	0,03621	0,02178	237	0,4361	0,04846	0,02915	202	2,93585	0,32621	0,19623	513	3,52036	0,39115	0,23529	490	2,99231	0,33248	0,2	424	
0,2	6	0,30214	0,03357	0,03049	269	0,28486	0,03165	0,02875	226	0,57467	0,06385	0,058	206	5,82432	0,64715	0,58784	566	4,39796	0,48866	0,44388	510	5,67105	0,63012	0,57237	485	
0,2	7	0,3953	0,04392	0,02549	227	0,32063	0,03563	0,02067	202	0,28412	0,03157	0,01832	196	2,8556	0,31729	0,18412	678	4,57225	0,50803	0,2948	541	1,65136	0,18348	0,10647	506	
0,2	8	0,46923	0,05214	0,03609	232	0,47858	0,05318	0,03681	225	0,47742	0,05305	0,03672	177	2,27221	0,25247	0,17479	670	2,09788	0,2331	0,16138	604	3,47807	0,38645	0,26754	604	
0,2	9	0,42887	0,04765	0,03109	300	0,45756	0,05084	0,03316	228	0,36816	0,04091	0,02668	192	2,40118	0,2668	0,17404	554	1,58984	0,17665	0,11523	479	2,02488	0,22499	0,14677	481	
0,2	10	0,50744	0,05638	0,05413	218	0,29567	0,03285	0,03154	226	0,28105	0,03123	0,02998	239	1,85435	0,20604	0,19783	564	1,56514	0,1739	0,16697	502	2,13784	0,23754	0,22807	469	
0,3	1	0,70331	0,07815	0,05362	220	0,4404	0,04893	0,03358	202	0,56741	0,06305	0,04326	175	4,32418	0,48046	0,32967	671	6,10078	0,67786	0,46512	603	4,98101	0,55345	0,37975	605	
0,3	2	0,47527	0,05281	0,0526	255	0,67168	0,07463	0,07434	195	0,67347	0,07483	0,07453	217	9,03571	1,00397	1	795	7,36893	0,81877	0,81553	632	6,37815	0,70868	0,70588	659	
0,3	3	0,64107	0,07123	0,07012	230	1,16012	0,1289	0,12689	197	1,2	0,13333	0,13125	172	6,73684	0,74854	0,73684	584	4,38857	0,48762	0,48	514	4,62651	0,51406	0,50602	530	
0,3	4	0,65433	0,0727	0,06812	257	0,74237	0,08249	0,07729	209	0,60639	0,06738	0,06313	186	7,07273	0,78586	0,73636	576	5,51773	0,61308	0,57447	485	5,05195	0,56133	0,52597	511	
0,3	5	0,70051	0,07783	0,04522	231	0,55064	0,06118	0,03555	267	0,63496	0,07055	0,04099	182	4,02451	0,44717	0,2598	568	9,02198	1,00244	0,58242	521	3,63274	0,40364	0,23451	465	
0,3	6	0,6129	0,0681	0,05205	243	0,48046	0,05338	0,0408	213	0,55845	0,06205	0,04743	187	2,38857	0,2654	0,20286	650	2,32869	0,25874	0,19777	614	1,43151	0,15906	0,12158	588	
0,3	7	0,69181	0,07687	0,05152	255	0,56541	0,06282	0,04211	208	0,51791	0,05755	0,03857	177	5,04698	0,56078	0,37584	633	3,3722	0,37469	0,25112	602	2,91473	0,32386	0,21705	562	
0,3	8	0,9878	0,10976	0,07561	208	0,82653	0,09184	0,06327	241	0,64904	0,07212	0,04968	195	7,64151	0,84906	0,58491	589	8,70968	0,96774	0,66667	439	7,43119	0,82569	0,56881	383	
0,3	9	0,57143	0,06349	0,04062	230	0,78004	0,08667	0,05545	208	0,61471	0,0683	0,0437	195	6,29851	0,69983	0,44776	621	7,74312	0,86035	0,55046	552	6,59375	0,73264	0,46875	573	
0,3	10	0,69189	0,07688	0,05856	227	0,58941	0,06549	0,04988	221	0,53149	0,05905	0,04498	161	6,04724	0,67192	0,51181	705	5,68889	0,6321	0,48148	640	4,24309	0,47145	0,35912	652	
0,4	1	0,89988	0,09999	0,07135	220	0,69821	0,07758	0,05536	217	0,75337	0,08371	0,05973	170	3,52252	0,39139	0,27928	690	5,83582	0,64842	0,46269	578	3,38528	0,37614	0,2684	568	
0,4	2	0,95108	0,10568	0,0603	201	1,32909	0,14768	0,08426	221	1,02076	0,11342	0,06471	164	7,02521	0,78058	0,44538	742	7,33333	0,81481	0,46491	657	7,1453	0,79392	0,45299	612	
